time,实时发电_风电
2025-08-28 01:00:00,362.955
2025-08-28 01:15:00,370.195
2025-08-28 01:30:00,375.592
2025-08-28 01:45:00,385.155
2025-08-28 02:00:00,371.288
2025-08-28 02:15:00,356.767
2025-08-28 02:30:00,342.815
2025-08-28 02:45:00,322.84
2025-08-28 03:00:00,315.875
2025-08-28 03:15:00,305.66
2025-08-28 03:30:00,301.033
2025-08-28 03:45:00,298.805
2025-08-28 04:00:00,290.147
2025-08-28 04:15:00,279.267
2025-08-28 04:30:00,272.25
2025-08-28 04:45:00,267.39
2025-08-28 05:00:00,262.992
2025-08-28 05:15:00,263.875
2025-08-28 05:30:00,256.973
2025-08-28 05:45:00,255.673
2025-08-28 06:00:00,248.14
2025-08-28 06:15:00,243.173
2025-08-28 06:30:00,245.805
2025-08-28 06:45:00,245.342
2025-08-28 07:00:00,247.482
2025-08-28 07:15:00,242.113
2025-08-28 07:30:00,230.367
2025-08-28 07:45:00,212.158
2025-08-28 08:00:00,202.66
2025-08-28 08:15:00,197.025
2025-08-28 08:30:00,178.682
2025-08-28 08:45:00,154.348
2025-08-28 09:00:00,137.45
2025-08-28 09:15:00,118.622
2025-08-28 09:30:00,99.08
2025-08-28 09:45:00,80.442
2025-08-28 10:00:00,71.772
2025-08-28 10:15:00,63.068
2025-08-28 10:30:00,62.178
2025-08-28 10:45:00,61.97
2025-08-28 11:00:00,59.118
2025-08-28 11:15:00,57.17
2025-08-28 11:30:00,58.638
2025-08-28 11:45:00,63.66
2025-08-28 12:00:00,64.967
2025-08-28 12:15:00,64.662
2025-08-28 12:30:00,67.113
2025-08-28 12:45:00,74.823
2025-08-28 13:00:00,81.94
2025-08-28 13:15:00,90.065
2025-08-28 13:30:00,97.73
2025-08-28 13:45:00,99.723
2025-08-28 14:00:00,100.75
2025-08-28 14:15:00,107.83
2025-08-28 14:30:00,119.452
2025-08-28 14:45:00,128.428
2025-08-28 15:00:00,130.05
2025-08-28 15:15:00,131.867
2025-08-28 15:30:00,152.372
2025-08-28 15:45:00,160.883
2025-08-28 16:00:00,167.577
2025-08-28 16:15:00,171.62
2025-08-28 16:30:00,200.27
2025-08-28 16:45:00,210.678
2025-08-28 17:00:00,209.51
2025-08-28 17:15:00,188.038
2025-08-28 17:30:00,210.313
2025-08-28 17:45:00,217.867
2025-08-28 18:00:00,244.867
2025-08-28 18:15:00,289.008
2025-08-28 18:30:00,304.4
2025-08-28 18:45:00,330.263
2025-08-28 19:00:00,340.422
2025-08-28 19:15:00,349.565
2025-08-28 19:30:00,373.41
2025-08-28 19:45:00,388.635
2025-08-28 20:00:00,389.715
2025-08-28 20:15:00,389.4
2025-08-28 20:30:00,393.905
2025-08-28 20:45:00,404.457
2025-08-28 21:00:00,396.682
2025-08-28 21:15:00,396.695
2025-08-28 21:30:00,381.41
2025-08-28 21:45:00,377.19
2025-08-28 22:00:00,381.487
