time,实时发电_火电
2025-12-26 05:45:00,1828.478
2025-12-26 06:00:00,1885.887
2025-12-26 06:15:00,2054.885
2025-12-26 06:30:00,2060.075
2025-12-26 06:45:00,2418.743
2025-12-26 07:00:00,2695.875
2025-12-26 07:15:00,3014.356
2025-12-26 07:30:00,3345.137
2025-12-26 07:45:00,3464.819
2025-12-26 08:00:00,3430.682
2025-12-26 08:15:00,3330.026
2025-12-26 08:30:00,3315.299
2025-12-26 08:45:00,3217.747
2025-12-26 09:00:00,3052.982
2025-12-26 09:15:00,2642.115
2025-12-26 09:30:00,2412.117
2025-12-26 09:45:00,2265.556
2025-12-26 10:00:00,1990.193
2025-12-26 10:15:00,1886.309
2025-12-26 10:30:00,1694.023
2025-12-26 10:45:00,1709.681
2025-12-26 11:00:00,1701.734
2025-12-26 11:15:00,1694.743
2025-12-26 11:30:00,1678.867
2025-12-26 11:45:00,1615.198
2025-12-26 12:00:00,2006.355
2025-12-26 12:15:00,1893.998
2025-12-26 12:30:00,1864.08
2025-12-26 12:45:00,1903.784
2025-12-26 13:00:00,1899.242
2025-12-26 13:15:00,1870.259
2025-12-26 13:30:00,1819.262
2025-12-26 13:45:00,1696.545
2025-12-26 14:00:00,1567.425
2025-12-26 14:15:00,1607.38
2025-12-26 14:30:00,1574.489
2025-12-26 14:45:00,1654.041
2025-12-26 15:00:00,1749.397
2025-12-26 15:15:00,1751.947
2025-12-26 15:30:00,1894.622
2025-12-26 15:45:00,2297.796
2025-12-26 16:00:00,2581.145
2025-12-26 16:15:00,2855.288
2025-12-26 16:30:00,3166.649
2025-12-26 16:45:00,3502.581
2025-12-26 17:00:00,3610.89
2025-12-26 17:15:00,3488.928
2025-12-26 17:30:00,3351.705
2025-12-26 17:45:00,3299.927
2025-12-26 18:00:00,3624.918
2025-12-26 18:15:00,3666.48
2025-12-26 18:30:00,3602.221
2025-12-26 18:45:00,3527.202
2025-12-26 19:00:00,3508.615
2025-12-26 19:15:00,3390.695
2025-12-26 19:30:00,3413.71
2025-12-26 19:45:00,3347.694
2025-12-26 20:00:00,3518.594
2025-12-26 20:15:00,3438.834
2025-12-26 20:30:00,3487.548
2025-12-26 20:45:00,3605.989
2025-12-26 21:00:00,3637.669
2025-12-26 21:15:00,3626.219
2025-12-26 21:30:00,3671.505
2025-12-26 21:45:00,3658.077
2025-12-26 22:00:00,3641.401
2025-12-26 22:15:00,3512.319
2025-12-26 22:30:00,3516.904
2025-12-26 22:45:00,3364.602
2025-12-26 23:00:00,3284.962
2025-12-26 23:15:00,3127.852
2025-12-26 23:30:00,2914.473
2025-12-26 23:45:00,2825.717
2025-12-27 00:00:00,3283.916
2025-12-27 00:15:00,3393.909
2025-12-27 00:30:00,3522.656
2025-12-27 00:45:00,3384.626
2025-12-27 01:00:00,3322.346
2025-12-27 01:15:00,3182.729
2025-12-27 01:30:00,3053.696
2025-12-27 01:45:00,2995.317
2025-12-27 02:00:00,2888.242
2025-12-27 02:15:00,2775.981
2025-12-27 02:30:00,2720.718
2025-12-27 02:45:00,2631.271
2025-12-27 03:00:00,2623.938
2025-12-27 03:15:00,2635.435
2025-12-27 03:30:00,2725.857
2025-12-27 03:45:00,2678.673
2025-12-27 04:00:00,2625.882
2025-12-27 04:15:00,2652.582
2025-12-27 04:30:00,2661.837
2025-12-27 04:45:00,2724.852
2025-12-27 05:00:00,2744.981
2025-12-27 05:15:00,2622.258
2025-12-27 05:30:00,2469.637
2025-12-27 05:45:00,2426.716
2025-12-27 06:00:00,2401.497
2025-12-27 06:15:00,2795.944
