time,实时出清价格
2025-11-06 19:00:00,316.925659
2025-11-06 19:15:00,318.82428
2025-11-06 19:30:00,317.760681
2025-11-06 19:45:00,317.760254
2025-11-06 20:00:00,314.583344
2025-11-06 20:15:00,317.1492
2025-11-06 20:30:00,316.831573
2025-11-06 20:45:00,317.723358
2025-11-06 21:00:00,317.250671
2025-11-06 21:15:00,316.3479
2025-11-06 21:30:00,315.360962
2025-11-06 21:45:00,315.344177
2025-11-06 22:00:00,315.362549
2025-11-06 22:15:00,317.32135
2025-11-06 22:30:00,315.339417
2025-11-06 22:45:00,314.357819
2025-11-06 23:00:00,315.08432
2025-11-06 23:15:00,314.051788
2025-11-06 23:30:00,309.999969
2025-11-06 23:45:00,310.000122
2025-11-07 00:00:00,317.132721
2025-11-07 00:15:00,318.159332
2025-11-07 00:30:00,320.207184
2025-11-07 00:45:00,318.107483
2025-11-07 01:00:00,319.999939
2025-11-07 01:15:00,317.999969
2025-11-07 01:30:00,317.999969
2025-11-07 01:45:00,318.000092
2025-11-07 02:00:00,320.0
2025-11-07 02:15:00,319.999969
2025-11-07 02:30:00,320.000092
2025-11-07 02:45:00,320.0
2025-11-07 03:00:00,318.0
2025-11-07 03:15:00,318.000031
2025-11-07 03:30:00,317.999878
2025-11-07 03:45:00,317.999878
2025-11-07 04:00:00,317.999969
2025-11-07 04:15:00,317.000031
2025-11-07 04:30:00,318.0
2025-11-07 04:45:00,317.000031
2025-11-07 05:00:00,318.000031
2025-11-07 05:15:00,319.999939
2025-11-07 05:30:00,319.44632
2025-11-07 05:45:00,319.478424
2025-11-07 06:00:00,329.788849
2025-11-07 06:15:00,334.239532
2025-11-07 06:30:00,343.740753
2025-11-07 06:45:00,352.016174
2025-11-07 07:00:00,379.999603
2025-11-07 07:15:00,350.051697
2025-11-07 07:30:00,350.056641
2025-11-07 07:45:00,359.999756
2025-11-07 08:00:00,360.000092
2025-11-07 08:15:00,355.999939
2025-11-07 08:30:00,389.476959
2025-11-07 08:45:00,389.264496
2025-11-07 09:00:00,361.645477
2025-11-07 09:15:00,350.485596
2025-11-07 09:30:00,337.345367
2025-11-07 09:45:00,340.249939
2025-11-07 10:00:00,356.000183
2025-11-07 10:15:00,352.018799
2025-11-07 10:30:00,380.000153
2025-11-07 10:45:00,359.999939
2025-11-07 11:00:00,352.016846
2025-11-07 11:15:00,334.197113
2025-11-07 11:30:00,328.205475
2025-11-07 11:45:00,314.553162
2025-11-07 12:00:00,324.45343
2025-11-07 12:15:00,324.702637
2025-11-07 12:30:00,328.407715
2025-11-07 12:45:00,326.397278
2025-11-07 13:00:00,328.093292
2025-11-07 13:15:00,334.931671
2025-11-07 13:30:00,335.909851
2025-11-07 13:45:00,329.857758
2025-11-07 14:00:00,335.936707
2025-11-07 14:15:00,334.950287
2025-11-07 14:30:00,333.011627
2025-11-07 14:45:00,335.878448
2025-11-07 15:00:00,333.780975
2025-11-07 15:15:00,328.267548
2025-11-07 15:30:00,334.262878
2025-11-07 15:45:00,335.964661
2025-11-07 16:00:00,337.644684
2025-11-07 16:15:00,351.743927
2025-11-07 16:30:00,441.426361
2025-11-07 16:45:00,393.532654
2025-11-07 17:00:00,381.194763
2025-11-07 17:15:00,352.680756
2025-11-07 17:30:00,418.80954
2025-11-07 17:45:00,399.270569
2025-11-07 18:00:00,339.798889
